run_id,n_customers,stage,duration_s,peak_rss_mb,rows,started_at
20260812021105064751,485,restructuring_assessment,0.8074,170.2,,2026-08-12T02:11:06.752160
20260812021105064751,485,quality_check,0.0032,170.2,,2026-08-12T02:11:07.559817
20260812021105064751,485,persist_output,0.0546,170.2,690,2026-08-12T02:11:07.563216
20260812024923548706,,load_contract,0.1038,92.31,4176,2026-08-12T02:49:23.548744
20260812024923548706,2931,load_payment,0.166,136.31,41856,2026-08-12T02:49:23.653222
20260812024923548706,2931,load_lkp,0.3578,219.77,91755,2026-08-12T02:49:23.819581
20260812024923548706,2931,load_cbs,0.0064,219.77,0,2026-08-12T02:49:24.177758
20260812024923548706,2931,feature_contract,2.7471,269.3,4176,2026-08-12T02:49:24.184340
20260812024923548706,2931,cbs_bootstrap,5.0462,270.34,2931,2026-08-12T02:49:26.931872
20260812024923548706,2931,enrich_and_fill,0.0093,270.34,4176,2026-08-12T02:49:31.978510
20260812024923548706,2931,score_contracts,0.9687,311.56,4176,2026-08-12T02:49:31.988009
20260812024923548706,2931,confidence_level,0.0061,311.8,4176,2026-08-12T02:49:32.957040
20260812024923548706,2931,business_rules,0.0237,312.17,4176,2026-08-12T02:49:32.963266
20260812024923548706,2931,restructuring_assessment,5.8467,324.7,,2026-08-12T02:49:32.987235
20260812024923548706,2931,quality_check,0.0061,324.7,,2026-08-12T02:49:38.834365
20260812024923548706,2931,persist_output,0.2368,324.7,4176,2026-08-12T02:49:38.840678
20260812025223402822,,train_initial:load,9.1434,1729.62,72090,2026-08-12T02:52:23.402849
20260812025450270310,,train_initial:load,9.0538,1836.59,72090,2026-08-12T02:54:50.270333
20260812025450270310,50000,train_initial:feature,133.2357,1998.58,72090,2026-08-12T02:54:59.332415
20260812025450270310,50000,train_initial:train,26.7345,1998.58,72090,2026-08-12T02:57:12.569932
20260812025450270310,50000,train_initial:register,0.015,1998.58,,2026-08-12T02:57:39.338866
20260812025958429910,,load_contract,0.7226,241.64,69210,2026-08-12T02:59:58.429946
20260812025958429910,48750,load_payment,2.7045,839.75,690430,2026-08-12T02:59:59.152984
20260812025958429910,48750,load_lkp,5.7584,1654.72,1497570,2026-08-12T03:00:01.858004
20260812025958429910,48750,load_cbs,0.0105,1654.72,0,2026-08-12T03:00:07.617258
20260812025958429910,48750,feature_contract,82.2858,1919.36,69210,2026-08-12T03:00:07.628075
20260812025958429910,48750,cbs_bootstrap,131.6365,2020.36,48750,2026-08-12T03:01:29.916247
20260812025958429910,48750,enrich_and_fill,0.1717,2020.36,69210,2026-08-12T03:07:33.991720
20260812025958429910,48750,score_contracts,2.0755,2020.36,69210,2026-08-12T03:07:34.163741
20260812025958429910,48750,confidence_level,0.0481,2020.36,69210,2026-08-12T03:07:36.239508
20260812025958429910,48750,business_rules,0.2634,2020.36,69210,2026-08-12T03:07:36.287964
20260812025958429910,48750,restructuring_assessment,361.49,2020.36,,2026-08-12T03:07:36.551709
20260812025958429910,48750,quality_check,0.147,2020.36,,2026-08-12T03:13:38.043482
20260812025958429910,48750,persist_output,2.6788,2020.36,69210,2026-08-12T03:13:38.190836
20260812031814978167,,train_initial:load,0.6255,342.0,7305,2026-08-12T03:18:14.978182
20260812031814978167,5000,train_initial:feature,7.5451,426.61,7305,2026-08-12T03:18:15.605312
20260812031814978167,5000,train_initial:train,4.7567,437.92,7305,2026-08-12T03:18:23.150759
20260812031814978167,5000,train_initial:register,0.0045,437.92,,2026-08-12T03:18:27.908683
20260812031828886693,,train_self_cure:load,0.6239,347.92,7305,2026-08-12T03:18:28.886711
20260812031828886693,5000,train_self_cure:feature,7.815,397.16,4440,2026-08-12T03:18:29.511240
20260812031828886693,5000,train_self_cure:train,3.089,397.16,4440,2026-08-12T03:18:37.326592
20260812031828886693,5000,train_self_cure:register,0.0037,397.16,,2026-08-12T03:18:40.416532
20260812031841338051,,train_roll_forward:load,0.6632,344.92,7305,2026-08-12T03:18:41.338067
20260812031841338051,5000,train_roll_forward:feature,7.9797,412.56,4064,2026-08-12T03:18:42.001992
20260812031841338051,5000,train_roll_forward:train,3.771,412.56,4064,2026-08-12T03:18:49.982182
20260812031841338051,5000,train_roll_forward:register,0.0042,412.56,,2026-08-12T03:18:53.753750
20260812031854641128,,train_ptp_success:load,0.6548,357.42,7305,2026-08-12T03:18:54.641143
20260812031854641128,5000,train_ptp_success:feature,7.6198,420.03,6381,2026-08-12T03:18:55.296725
20260812031854641128,5000,train_ptp_success:train,3.1977,423.33,6381,2026-08-12T03:19:02.916941
20260812031854641128,5000,train_ptp_success:register,0.0043,423.33,,2026-08-12T03:19:06.115088
20260812031906613743,,load_contract,0.0832,98.5,7004,2026-08-12T03:19:06.613758
20260812031906613743,4871,load_payment,0.1768,170.0,70060,2026-08-12T03:19:06.697057
20260812031906613743,4871,load_lkp,0.367,303.81,149595,2026-08-12T03:19:06.874165
20260812031906613743,4871,load_cbs,0.0064,303.81,0,2026-08-12T03:19:07.241496
20260812031906613743,4871,feature_contract,2.6627,346.91,7004,2026-08-12T03:19:07.248008
20260812031906613743,4871,cbs_bootstrap,4.7652,349.84,4871,2026-08-12T03:19:09.911422
20260812031906613743,4871,enrich_and_fill,0.0092,349.91,7004,2026-08-12T03:19:14.676439
20260812031906613743,4871,score_contracts,0.5279,387.36,7004,2026-08-12T03:19:14.685775
20260812031906613743,4871,confidence_level,0.004,387.36,7004,2026-08-12T03:19:15.213774
20260812031906613743,4871,business_rules,0.0178,387.36,7004,2026-08-12T03:19:15.217858
20260812031906613743,4871,restructuring_assessment,6.8094,432.88,,2026-08-12T03:19:15.235801
20260812031906613743,4871,quality_check,0.0069,432.88,,2026-08-12T03:19:22.045096
20260812031906613743,4871,persist_output,0.6785,432.88,7004,2026-08-12T03:19:22.052212
20260812031943430192,,train_initial:load,1.1781,538.8,14531,2026-08-12T03:19:43.430207
20260812031943430192,10000,train_initial:feature,15.0636,715.91,14531,2026-08-12T03:19:44.609631
20260812031943430192,10000,train_initial:train,6.1079,726.17,14531,2026-08-12T03:19:59.674272
20260812031943430192,10000,train_initial:register,0.0043,726.17,,2026-08-12T03:20:05.784051
20260812032006722920,,train_self_cure:load,1.1736,529.86,14531,2026-08-12T03:20:06.722935
20260812032006722920,10000,train_self_cure:feature,14.8737,661.0,8761,2026-08-12T03:20:07.897579
20260812032006722920,10000,train_self_cure:train,3.6737,672.31,8761,2026-08-12T03:20:22.771637
20260812032006722920,10000,train_self_cure:register,0.0036,672.31,,2026-08-12T03:20:26.446238
20260812032027256032,,train_roll_forward:load,1.1592,543.44,14531,2026-08-12T03:20:27.256046
20260812032027256032,10000,train_roll_forward:feature,15.4479,594.55,8311,2026-08-12T03:20:28.416271
20260812032027256032,10000,train_roll_forward:train,4.4318,594.55,8311,2026-08-12T03:20:43.864741
20260812032027256032,10000,train_roll_forward:register,0.0041,594.55,,2026-08-12T03:20:48.297498
20260812032049235442,,train_ptp_success:load,1.2019,536.75,14531,2026-08-12T03:20:49.235458
20260812032049235442,10000,train_ptp_success:feature,14.8888,631.86,12673,2026-08-12T03:20:50.439251
20260812032049235442,10000,train_ptp_success:train,3.9783,639.28,12673,2026-08-12T03:21:05.329168
20260812032049235442,10000,train_ptp_success:register,0.004,639.28,,2026-08-12T03:21:09.308595
20260812032109872386,,load_contract,0.1285,115.09,13980,2026-08-12T03:21:09.872400
20260812032109872386,9756,load_payment,0.3533,243.64,138094,2026-08-12T03:21:10.001157
20260812032109872386,9756,load_lkp,0.6229,497.34,302324,2026-08-12T03:21:10.354765
20260812032109872386,9756,load_cbs,0.0035,497.34,0,2026-08-12T03:21:10.978176
20260812032109872386,9756,feature_contract,5.2805,629.53,13980,2026-08-12T03:21:10.981766
20260812032109872386,9756,cbs_bootstrap,9.3468,630.47,9756,2026-08-12T03:21:16.263385
20260812032109872386,9756,enrich_and_fill,0.0168,630.53,13980,2026-08-12T03:21:25.610448
20260812032109872386,9756,score_contracts,0.6736,666.95,13980,2026-08-12T03:21:25.627398
20260812032109872386,9756,confidence_level,0.0058,666.95,13980,2026-08-12T03:21:26.301195
20260812032109872386,9756,business_rules,0.0297,678.39,13980,2026-08-12T03:21:26.307169
20260812032109872386,9756,restructuring_assessment,18.4293,693.91,,2026-08-12T03:21:26.337117
20260812032109872386,9756,quality_check,0.0134,693.91,,2026-08-12T03:21:44.767185
20260812032109872386,9756,persist_output,0.4392,693.91,13980,2026-08-12T03:21:44.780838
20260812032608784178,,train_initial:load,2.8628,1085.03,36182,2026-08-12T03:26:08.784191
20260812032608784178,25000,train_initial:feature,38.0087,1416.95,36182,2026-08-12T03:26:11.654271
20260812032608784178,25000,train_initial:train,8.9878,1416.95,36182,2026-08-12T03:26:49.663605
20260812032608784178,25000,train_initial:register,0.0045,1416.95,,2026-08-12T03:26:58.657181
20260812032659703470,,train_self_cure:load,2.8749,1119.84,36182,2026-08-12T03:26:59.703487
20260812032659703470,25000,train_self_cure:feature,37.7916,1280.42,21734,2026-08-12T03:27:02.580768
20260812032659703470,25000,train_self_cure:train,5.5755,1280.42,21734,2026-08-12T03:27:40.373161
